dataset_id	tissue_general
12194ced-8086-458e-84a8-e2ab935d8db1	central nervous system
12194ced-8086-458e-84a8-e2ab935d8db1	spinal cord
c4dd26a8-d956-4bee-a233-44b573f2ce27	brain
456e8b9b-f872-488b-871d-94534090a865	blood
4dd00779-7f73-4f50-89bb-e2d3c6b71b18	colon
c3fe3c1e-5bf8-4678-b74a-79899243ad41	prostate gland
5467c340-864c-4810-86ef-647039c07148	ureter
7e9bde96-b4d1-43d3-a5fe-dde6c4a6dc47	pancreas
bac09168-940b-4b11-8d55-b4955f80b98d	brain
d1207c81-7309-43a7-a5a0-f4283670b62b	ovary
86282760-5099-4c71-8cdd-412dcbbbd0b9	bone marrow
f3565fda-499a-4d20-bd92-563c09954c42	brain
f9034091-2e8f-4ac6-9874-e7b7eb566824	brain
105c7dad-0468-4628-a5be-2bb42c6a8ae4	kidney
07760522-707a-4a1c-8891-dbd1226d6b27	brain
f67f2cfa-ba45-4f77-8e26-64a15f666043	brain
be39785b-67cb-4177-be19-a40ee3747e45	kidney
8c6ed88f-11bf-4159-bad7-ff41fb1e1eca	brain
4d2e0563-cf4a-48bd-aa7f-efc26025b53a	small intestine
4d2e0563-cf4a-48bd-aa7f-efc26025b53a	colon
4d2e0563-cf4a-48bd-aa7f-efc26025b53a	digestive system
9813a1d4-d107-459e-9b2e-7687be935f69	brain
7cd3c321-e487-4b51-a8af-9bf671b59fe5	brain
74c527f9-80c2-48bc-a262-88bca203a922	adipose tissue
c7856243-c59a-4b70-8ce7-25b94c2d9da1	brain
e871881f-b42d-4500-906d-0972a14ba47d	lung
e871881f-b42d-4500-906d-0972a14ba47d	respiratory system
39ed7d98-676d-4b8d-9d0a-0f3b60914ead	embryo
39ed7d98-676d-4b8d-9d0a-0f3b60914ead	brain
ed852810-a003-4386-9846-1638362cee39	heart
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4	brain
babbf9f3-f482-45a5-ba76-c41f4c2f503e	eye
6cda07c7-5d7a-41ba-9799-5bb73da25a60	brain
15e0ec3e-a05f-4cd8-8624-96448f5a2b58	brain
88c483bf-477d-4be5-90d3-4fb101dd601f	prostate gland
2a156c92-c62f-4a51-b340-9df09caa589c	adipose tissue
771c7f5e-01c9-4faf-ab7f-ee8a7cf9d285	exocrine gland
d18736c3-6292-4379-919a-d6d973204c87	blood
1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771	blood
4b6af54a-4a21-46e0-bc8d-673c0561a836	lung
a7b4f565-691d-43ea-bf4a-d2d1d52bb4b4	brain
44882825-0da1-4547-b721-2c6105d4a9d1	immune system
04c0bdd8-840f-488e-b72d-2a1229bc65db	endocrine gland
0f4865d5-8000-4f68-8ac7-f5efea9e5e70	small intestine
f7ca7eb9-0919-4eba-99a1-21ba382b4174	intestine
51d9716c-50bb-4fd8-8d1e-7d9329969cb7	intestine
d3a83885-5198-4b04-8314-b753b66ef9a8	prostate gland
38491c97-ce53-43d6-b34a-ef93176c9481	brain
35090826-f636-40c1-a3ef-4466beeab9f8	brain
7a1d54e5-901d-4280-b77d-b87cf172292d	adipose tissue
fd89be61-2869-4342-a86e-e1fce3a8f269	small intestine
fd89be61-2869-4342-a86e-e1fce3a8f269	colon
